GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TradingAppShared,Enums,TradeOperation,54,0,0,0,6,0,1,0,1,0
TradingAppShared,Enums,MessageOperation,94,0,0,0,10,0,1,0,1,0
TradingAppShared,Messages,ItemResponse,6,10,0,0,3,5,1,3,1,3
TradingAppShared,Messages,PlayersList,4,9,0,0,2,4,1,2,1,2
TradingAppShared,Messages,CommunicatorWebsocketMessage,24,0,0,0,10,0,7,0,7,0
TradingAppShared,Messages,TradeItemMessage,48,0,0,0,20,0,8,0,8,0
TradingAppShared,DatabaseCommunicator,DatabaseConnection,17,48,2,2,9,12,2,4,1,3
TradingAppShared,DatabaseCommunicator,DatabaseController,21,94,2,2,8,25,5,8,4,7
TradingAppShared,DatabaseCommunicator,DatabasePlayerService,15,149,0,4,6,46,0,7,0,5
TradingAppShared,DatabaseCommunicator,DatabaseItemsService,182,75,6,2,55,23,7,4,4,3
TradingAppShared,Shared_Models,Item,27,21,0,0,13,8,6,4,6,4
TradingAppShared,Shared_Models,Player,6,42,0,0,2,19,2,8,2,8
